Date,High,Low,Open,Status,DateTime,year,month,day,30d_avg,Std,RSI,Williams %R
8/23/2015,516.0,516.0,516.0,-1,2015-08-23,2015,8,23,455.8,36.302749967083535,62.97651429096507,-23.404255319148938
8/24/2015,506.0,506.0,506.0,-1,2015-08-24,2015,8,24,459.03333333333336,36.310427241178964,59.91013867643639,-35.95505617977528
8/25/2015,504.0,504.0,504.0,-1,2015-08-25,2015,8,25,461.96666666666664,36.268617890379154,59.28836704768068,-38.20224719101124
8/26/2015,506.0,506.0,506.0,1,2015-08-26,2015,8,26,465.2,35.70318251051971,59.73836103412229,-72.72727272727273
8/27/2015,505.0,505.0,505.0,-1,2015-08-27,2015,8,27,468.3666666666667,34.84100174075108,59.384918315691124,-97.05882352941175
8/31/2015,496.0,496.0,496.0,-1,2015-08-31,2015,8,31,471.3666666666667,33.11784947763302,56.16420166547442,-100.0
9/1/2015,500.0,500.0,500.0,1,2015-09-01,2015,9,1,474.3666666666667,31.39897135733939,57.273319461819604,-80.0
9/2/2015,486.0,486.0,486.0,-1,2015-09-02,2015,9,2,476.73333333333335,29.38089143660151,52.286841653227214,-100.0
9/3/2015,478.0,478.0,478.0,-1,2015-09-03,2015,9,3,478.46666666666664,27.77462664119249,49.6278694245817,-99.99999999999999
9/6/2015,474.0,474.0,474.0,-1,2015-09-06,2015,9,6,479.6,26.828446045970452,48.305144713058255,-100.0
9/7/2015,489.0,489.0,489.0,1,2015-09-07,2015,9,7,480.4,26.735743864724768,53.328684327378504,-51.612903225806456
9/8/2015,496.0,496.0,496.0,1,2015-09-08,2015,9,8,479.9,26.28012229017162,55.501864747552645,-15.384615384615383
9/9/2015,480.0,480.0,480.0,-1,2015-09-09,2015,9,9,479.3,26.057165273090124,49.79452224774587,-76.92307692307692
9/10/2015,472.0,472.0,472.0,-1,2015-09-10,2015,9,10,479.03333333333336,26.090668609790658,47.182014835662436,-100.0
9/13/2015,480.0,480.0,480.0,1,2015-09-13,2015,9,13,479.46666666666664,25.99168744218279,50.006714779712404,-66.66666666666667
9/14/2015,510.0,510.0,510.0,1,2015-09-14,2015,9,14,481.46666666666664,25.954513703966093,58.88630546645523,-0.0
9/15/2015,510.0,510.0,510.0,0,2015-09-15,2015,9,15,483.6,25.56614140239126,58.88630546645523,-0.0
9/16/2015,490.0,490.0,490.0,-1,2015-09-16,2015,9,16,484.7,25.087639489848016,51.77600554468078,-52.63157894736842
9/17/2015,488.0,488.0,488.0,-1,2015-09-17,2015,9,17,486.26666666666665,23.693347434329443,51.11138170125278,-57.89473684210526
9/22/2015,471.0,471.0,471.0,-1,2015-09-22,2015,9,22,486.9,22.989277860600392,45.73710905848344,-100.0
9/23/2015,465.0,465.0,465.0,-1,2015-09-23,2015,9,23,486.96666666666664,22.920376920135645,43.979433488059406,-100.0
9/24/2015,456.0,456.0,456.0,-1,2015-09-24,2015,9,24,486.53333333333336,23.389849453800075,41.408808733475354,-100.0
9/28/2015,451.0,451.0,451.0,-1,2015-09-28,2015,9,28,485.6,24.243875870857504,40.00965312076345,-100.0
9/29/2015,450.0,450.0,450.0,-1,2015-09-29,2015,9,29,485.73333333333335,24.028622778757953,39.72058275440656,-100.0
